group,name,value
main_table,full_proxy_pool_prior_acc,94.196304
main_table,full_proxy_pool_axis_acc,94.621422
main_table,full_proxy_pool_final_acc,94.759773
main_table,full_proxy_pool_final_rank,1.000000
main_table,budgeted_proxy_subset_prior_acc,94.079178
main_table,budgeted_proxy_subset_axis_acc,94.555138
main_table,budgeted_proxy_subset_final_acc,94.638809
main_table,budgeted_proxy_subset_final_rank,1.000000
refinement_trajectory,score_prior_acc,94.196304
refinement_trajectory,axis_calibrated_selection_acc,94.621422
refinement_trajectory,component_corrected_refinement_acc,94.759773
main_table,full_proxy_pool_score_gpu_hours,6.538056
main_table,full_proxy_pool_refinement_gpu_hours,0.062222
main_table,budgeted_proxy_subset_score_gpu_hours,1.386667
main_table,budgeted_proxy_subset_refinement_gpu_hours,0.053056
subset_stability,retained_pool_k3_median_acc,93.059647
subset_stability,retained_pool_k3_median_rank,605.000000
subset_stability,retained_pool_k5_median_acc,94.379257
subset_stability,retained_pool_k5_median_rank,3.000000
subset_stability,full_proxy_pool_k3_median_acc,94.278168
subset_stability,full_proxy_pool_k3_median_rank,10.000000
subset_stability,full_proxy_pool_k5_median_acc,93.865494
subset_stability,full_proxy_pool_k5_median_rank,117.000000
