group,name,value,source
main_and_trajectory,full_proxy_pool_score_prior_acc,93.797127,clean_main_pair
main_and_trajectory,full_proxy_pool_score_prior_rank,144,clean_main_pair
main_and_trajectory,full_proxy_pool_axis_calibrated_selection_acc,94.559105,clean_main_pair
main_and_trajectory,full_proxy_pool_axis_calibrated_selection_rank,1,clean_main_pair
main_and_trajectory,full_proxy_pool_component_corrected_refinement_acc,94.599625,clean_main_pair
main_and_trajectory,full_proxy_pool_component_corrected_refinement_rank,1,clean_main_pair
main_and_trajectory,three_proxy_subset_score_prior_acc,94.197647,clean_main_pair
main_and_trajectory,three_proxy_subset_score_prior_rank,16,clean_main_pair
main_and_trajectory,three_proxy_subset_axis_calibrated_selection_acc,94.543343,clean_main_pair
main_and_trajectory,three_proxy_subset_axis_calibrated_selection_rank,1,clean_main_pair
main_and_trajectory,three_proxy_subset_component_corrected_refinement_acc,94.543343,clean_main_pair
main_and_trajectory,three_proxy_subset_component_corrected_refinement_rank,1,clean_main_pair
component_ablation,best_single_proxy_name,jacob,clean_component_ablation
component_ablation,best_single_proxy_acc,94.487907,clean_component_ablation
component_ablation,raw_multi_proxy_direct_acc,93.915718,clean_component_ablation
component_ablation,raw_multi_proxy_task_conditioned_acc,94.483688,clean_component_ablation
component_ablation,factorized_full_acc,94.599625,clean_main_pair
proxy_geometry,raw_proxy_scores_mean_abs_spearman,0.255729,clean_proxy_geometry
proxy_geometry,raw_proxy_scores_effective_rank,7.792323,clean_proxy_geometry
proxy_geometry,raw_proxy_scores_n_dim,19,clean_proxy_geometry
proxy_geometry,factorized_prior_and_axes_mean_abs_spearman,0.109706,clean_proxy_geometry
proxy_geometry,factorized_prior_and_axes_effective_rank,7.993569,clean_proxy_geometry
proxy_geometry,factorized_prior_and_axes_n_dim,9,clean_proxy_geometry
subset_stability,retained_pool_k3_median_acc,94.367805,clean_subset_stability
subset_stability,retained_pool_k3_median_rank,4,clean_subset_stability
subset_stability,retained_pool_k5_median_acc,94.348816,clean_subset_stability
subset_stability,retained_pool_k5_median_rank,5,clean_subset_stability
subset_stability,full_proxy_pool_k3_median_acc,94.564842,clean_subset_stability
subset_stability,full_proxy_pool_k3_median_rank,1,clean_subset_stability
subset_stability,full_proxy_pool_k5_median_acc,94.378311,clean_subset_stability
subset_stability,full_proxy_pool_k5_median_rank,3,clean_subset_stability
